Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
RhymeBrain,Writing,Rhyming,https://rhymebrain.com,Ryming tool.,http://tomsmith.webfactional.com/notes/RhymeBrain_Rhyming_Dictionary__Easy_to_read_on_your_phone__2289B63E.png,,
Word Mover,Writing,Found poetry creator,http://www.readwritethink.org/files/resources/interactives/Word_Mover/,Found poetry like you'd made on a fridge.,http://tomsmith.webfactional.com/notes/WordMover_2289B65F.png,,
Canva,Design,Image,https://www.canva.com/,Fabulous design tool.,http://tomsmith.webfactional.com/notes/Home_-_Canva_2289B67B.png,,
Accessible Brand Colors,Colour,Tool,https://abc.useallfive.com/,Is your colour scheme accessible?,http://tomsmith.webfactional.com/notes/Accessible_Brand_Colors_by_Use_All_Five_2289B6C3.png,,
Flare,Animation,,https://rive.app/,Animation tool,http://tomsmith.webfactional.com/notes/2D_-_Flare_by_2Dimensions__Bring_your_apps_and_games_to_life_with_real-time_animation__2289B6E5.png,,
Idea Lottery,Writing,Ideation,http://www.ideachampions.com/cgi-bin/idea_lottery.pl,Creative prompt tool.,http://tomsmith.webfactional.com/notes/Idea_Champions_2289B704.png,,
Depthy,Image,Editing,http://depthy.me,Add depth effects to any image,http://tomsmith.webfactional.com/notes/DEPTHY_2289B724.png,,
Der Bunt,Colour,Tool,https://codepen.io/meodai/full/KagxwW,Colour theme tool,http://tomsmith.webfactional.com/notes/Der_Bunt__Color_Harmonies__Alpha_1_1__2289B744.png,,
Ambient Mixer,Audio,Generation,https://www.ambient-mixer.com/,Create background soundscapes,http://tomsmith.webfactional.com/notes/Listen_and_create_ambient_sounds_easily_2289B776.png,,
Autodraw,Image,Generation,https://www.autodraw.com/,Strange drawing suggestion tool,http://tomsmith.webfactional.com/notes/AutoDraw_and_TwistedWave_Online_Audio_Editor_2289B792.png,,
Kleki,Image,Editing,http://kleki.com/,Nice drawing and painting tool,http://tomsmith.webfactional.com/notes/Kleki_-_Painting_Canvas_2289B7CB.png,,
Webmaker App,Coding,HTML/CSS/JS,https://webmaker.app/app/,Online live playground,http://tomsmith.webfactional.com/notes/Web_Maker_and_TwistedWave_Online_Audio_Editor_2289B7EA.png,,
P5Live,Coding,Processing,https://teddavis.org/p5live/,Live code P5.js code,http://tomsmith.webfactional.com/notes/P5LIVE_2289B808.png,,
TinkerCAD,3D,Editing,https://www.tinkercad.com/,Make 3D models,http://tomsmith.webfactional.com/notes/Gallery_of_Things___Tinkercad_2289B83D.png,,
Scanseqjs,Music,Toy,https://jeonghopark.github.io/scanseqjs/,Play music with your web cam,http://tomsmith.webfactional.com/notes/Scan_Sequence_🔊_2289B85F.png,,
Draw A Poem,Writing,Toy,https://editor.p5js.org/generative-design/sketches/P_2_3_3_01,"Hack this code and then ""draw your words"". ",http://tomsmith.webfactional.com/notes/p5_js_Web_Editor___P_2_3_3_01_2289B886.png,,
A Frame,VR,3D,https://aframe.io/,A web framework for building virtual reality experiences,http://tomsmith.webfactional.com/notes/A-Frame_–_Make_WebVR_2289B8AB.png,,
ml5js,Coding,AI,https://ml5js.org/,Machine Learning For The Web,http://tomsmith.webfactional.com/notes/ml5js_·_Friendly_Machine_Learning_For_The_Web__2289B8CD.png,,
Wekinator,Coding,AI,http://www.wekinator.org/,Machine Learning Controllers,http://tomsmith.webfactional.com/notes/Example_Projects___Wekinator_2289B8F6.png,,
SpeakYourMind,Wellbeing,Art/Writing/Toy,https://speakyourmind.squarespace.com/create,An interesting toy to make a typography based artwork about how you feel.,http://tomsmith.webfactional.com/notes/Create_Your_Own_–_Speak_Your_Mind_2289B947.png,,
Drawing With Sound,Music,Toy,https://creatability.withgoogle.com/sound-canvas/,Your drawing generates sounds,http://tomsmith.webfactional.com/notes/Sound_Canvas_and_TwistedWave_Online_Audio_Editor_2289B9B1.png,,
Play Music With Webcam,Music,Toy,https://creatability.withgoogle.com/sampler/,Webcam plays music,http://tomsmith.webfactional.com/notes/Sampler_🔊_2289B9D7.png,,
Musical Text,Writing,Toy,https://creatability.withgoogle.com/word-synth/,Type and make music,http://tomsmith.webfactional.com/notes/Word_Synth_2289B9F3.png,,
Keyboard Cam,Music,Webcam,https://creatability.withgoogle.com/keyboard/,A keyboard you can play with your face,http://tomsmith.webfactional.com/notes/Keyboard_2289BA15.png,,
Turtle Toy,Coding,Javascript,https://turtletoy.net/turtle/browse/newest/180,Make arty visualisations and learn Javascript at the same time.,http://tomsmith.webfactional.com/notes/Latest_contributions___Turtletoy_and_TwistedWave_Online_Audio_Editor_2289B990.png,,
Glitch Visualizer,Music,Visualisation,https://uberviz.io/viz/word-problems/,Drop .mp3s onto this and enjoy,http://tomsmith.webfactional.com/notes/ÜberViz_🔊_2289B96B.png,,
Thunkable,Coding,Visual,https://thunkable.com/,Make mobile apps using visual block coding,http://tomsmith.webfactional.com/notes/SOSgram_-_Save_lives_chatting_-__SuccessfullyTHUNK_d_-_Thunkable_Community_2289CEC8.png,,
Remove Background,Image,Editing,https://www.remove.bg/,Quickly remove an image's background,http://tomsmith.webfactional.com/notes/Remove_Background_from_Image_–_remove_bg_2289F517.png,,
Deep Art,Image,AI,https://deepart.io/,Use AI to enhance and alter images,http://tomsmith.webfactional.com/notes/deepart_io_-_become_a_digital_artist_2289F567.png,,
Background Burner,Image,Editing,https://burner.bonanza.com/,Remove backgrounds from images online,http://tomsmith.webfactional.com/notes/Remove_Image_Backgrounds_Free___Fast_-_Background_Burner_2289F5CB.png,,
CoolBackgrounds,Image,Resources,https://coolbackgrounds.io/ ,Generates a variety of nice background textures,http://tomsmith.webfactional.com/notes/Cool_Backgrounds_228A0A84.png,,
Ml5js,Coding,Machine Learning,https://ml5js.org/,Friendly Machine Learning library for Javascript,http://tomsmith.webfactional.com/notes/ml5js_·_Friendly_Machine_Learning_For_The_Web__228A09CA.png,,
FontStruct,Font,Editing,https://fontstruct.com/,Create your own fonts,http://tomsmith.webfactional.com/notes/FontStruct___Build__Share__Download_Fonts_228AB30D.png,,
OnSequel,Bot,Creating,https://www.onsequel.com/,Create bots,http://tomsmith.webfactional.com/notes/Sequel__bot_platform_for_messengers_228AB60D.png,,
RunDexter,Bot,Creating,https://rundexter.com/,Create bots,http://tomsmith.webfactional.com/notes/Dexter_is_the_platform_to_write__test__and_launch_automated_conversations__228AB697.png,,
Deep Art,Image,Effects,https://deepart.io/,AI alters your images based on what it knows about other styles.,http://tomsmith.webfactional.com/notes/deepart_io_-_become_a_digital_artist_228AC01C.png,,
ScribbleMaps,Maps,Editing,https://www.scribblemaps.com/,Easily create your own maps with scribbles on,http://tomsmith.webfactional.com/notes/Draw_On_Maps_and_Make_Them_Easily__228ABFD4.png,,
